Sentence,Tense,Verb,NER Tag,encode_sent
who,0,None,0,"0, 478, 2"
Howe,0,None,"0,0","0, 14715, 73, 2"
no Howe won't stay tonight,3,won't,"0,0,0,0,9,3,0","0, 286, 7877, 73, 817, 309, 1013, 1710, 2"
no there's no fire back there,1,s,"0,0,4,0,0,0,0","0, 286, 386, 279, 361, 1244, 511, 386, 2"
you drawing a kitty,0,None,"0,5,0,0","0, 266, 2742, 265, 1015, 2"
Mommy,0,None,0,"0, 1087, 2"
Adam right there,0,None,"0,0,0","0, 2637, 434, 386, 2"
what does Daddy say,1,does,"0,1,0,3","0, 312, 462, 825, 460, 2"
circle,0,None,0,"0, 7539, 2"
write circle,1,write,"1,0","0, 4382, 2303, 2"
bumble bee,0,None,"0,0","0, 9900, 1448, 2"
where is he,1,is,"0,1,0","0, 442, 328, 301, 2"
why don't you write that,1,don't,"0,1,0,0,3,0","0, 601, 358, 309, 273, 1330, 296, 2"
thank you,1,thank,"1,0","0, 764, 273, 2"
is that the bumble bee,1,is,"1,0,0,0,0","0, 281, 296, 272, 3636, 1448, 2"
do you wanna read a book,1,don't,"1,0,3,3,0,0","0, 410, 273, 423, 569, 265, 523, 2"
who is this,1,is,"0,1,0","0, 478, 328, 346, 2"
Donald Duck go,0,None,"0,0,0","0, 3771, 5053, 316, 2"
I don't know,1,don't,"0,1,0,3","0, 45, 358, 309, 378, 2"
did you look in your basket,2,did,"2,0,3,0,0,0","0, 546, 273, 415, 318, 345, 1859, 2"
part,0,None,0,"0, 5902, 2"
oh his head,0,None,"0,0,0","0, 332, 505, 870, 2"
oh that's been lost a long time,1,s,"0,0,4,8,8,0,0,0","0, 332, 296, 279, 984, 2059, 265, 946, 627, 2"
can you go with your bike,1,can,"7,0,3,0,0,0","0, 473, 273, 316, 392, 345, 2126, 2"
look a trailer,1,look,"1,0,0","0, 457, 265, 6110, 2"
what are you going to pull,3,are you going to,"0,1,0,5,0,3","0, 312, 385, 273, 497, 302, 1108, 2"
pull Adam's bike,1,pull,"1,0,0,0","0, 2020, 1834, 279, 2126, 2"
no don't take his head off,1,don't,"0,1,0,3,0,0,0","0, 286, 358, 309, 577, 505, 870, 581, 2"
leave him on there,1,leave,"1,0,0,0","0, 2424, 502, 307, 386, 2"
so he can drive it,1,can,"0,0,7,3,0","0, 513, 301, 377, 1684, 290, 2"
yes his head is off,1,is,"0,0,0,1,0","0, 506, 505, 870, 328, 581, 2"
do you have a comb,1,don't,"1,0,3,0,0","0, 410, 273, 381, 265, 2103, 2"
goat,0,None,0,"0, 9974, 2"
is that a piggie,1,is,"1,0,0,0","0, 281, 296, 265, 3115, 2"
I can't see,1,can't,"0,7,0,3","0, 45, 377, 309, 384, 2"
no I can't see,1,can't,"0,0,7,0,3","0, 286, 322, 377, 309, 384, 2"
Bozo,0,None,0,"0, 12636, 2"
what,0,None,0,"0, 312, 2"
where's a ladder,1,s,"0,4,0,0","0, 442, 279, 265, 3193, 2"
circus,0,None,0,"0, 13025, 2"
circus what,0,None,"0,0","0, 13025, 339, 2"
acrobat,0,None,0,"0, 34829, 2"
that's the tattooed man,1,s,"0,4,0,0,0","0, 363, 279, 272, 19464, 686, 2"
tattooed man,0,None,"0,0","0, 34371, 686, 2"
tattooed man,0,None,"0,0","0, 34371, 686, 2"
may I sit beside you,1,may,"7,0,3,0,0","0, 3158, 322, 726, 4560, 273, 2"
Judy and Buzz,0,None,"0,0,0","0, 5039, 329, 6389, 2"
that's a couple we know,1,s,"0,4,0,0,0,1","0, 363, 279, 265, 1745, 331, 378, 2"
apple mouth,0,None,"0,0","0, 2818, 813, 2"
you had an apple when you got up from your nap,2,had,"0,2,0,0,0,0,2,0,0,0,0","0, 266, 630, 413, 1341, 536, 273, 449, 403, 721, 345, 1527, 2"
when you got up from your nap,2,got,"0,0,2,0,0,0,0","0, 952, 273, 449, 403, 721, 345, 1527, 2"
what's that,1,s,"0,4,0","0, 312, 279, 296, 2"
Adam wanna close the box,1,wanna,"0,1,3,0,0","0, 2637, 423, 1136, 272, 901, 2"
do you want paper,1,do,"1,0,3,0","0, 410, 273, 427, 1243, 2"
whose brief case is that,1,is,"0,0,0,1,0","0, 2301, 7681, 3920, 328, 296, 2"
is that part of the game,1,is,"1,0,0,0,0,0","0, 281, 296, 1031, 340, 272, 1481, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
oh pin game,0,None,"0,0,0","0, 332, 2038, 1481, 2"
John who,0,None,"0,0","0, 3020, 592, 2"
let's see,1,let's,"1,0,3","0, 489, 279, 384, 2"
John Buzzhart,0,None,"0,0","0, 3020, 26841, 2"
Adam you don't tell him what to write,1,don't,"0,0,1,0,3,0,0,0,3","0, 2637, 273, 358, 309, 621, 502, 339, 302, 1330, 2"
what's your Daddy's name,1,s,"0,4,0,0,0,0","0, 312, 279, 345, 825, 279, 766, 2"
Daddy's all gone,1,s,"0,4,0,8","0, 1494, 279, 432, 1581, 2"
what's his name,1,s,"0,4,0,0","0, 312, 279, 505, 766, 2"
John Buzzhart,0,None,"0,0","0, 3020, 26841, 2"
sock,0,None,0,"0, 4982, 2"
don't sit on that,1,don't,"1,0,3,0,0","0, 629, 309, 726, 307, 296, 2"
here's your shoe,1,s,"0,4,0,0","0, 355, 279, 345, 1499, 2"
no Mommy what,0,None,"0,0,0","0, 286, 688, 339, 2"
no John Buzzhart,0,None,"0,0,0","0, 286, 2509, 26841, 2"
what kind of game,0,None,"0,0,0,0","0, 312, 549, 340, 1481, 2"
Babar,0,None,0,"0, 18153, 2"
which one,0,None,"0,0","0, 1106, 383, 2"
oh shave a pig,1,shave,"0,1,0,0","0, 332, 7090, 265, 969, 2"
that one,0,None,"0,0","0, 363, 383, 2"
Bozo,0,None,0,"0, 12636, 2"
you haven't seen Bozo in a long time have you,1,haven't,"0,1,0,8,0,0,0,0,0,1,0","0, 266, 1599, 309, 1271, 7385, 318, 265, 946, 627, 381, 273, 2"
are you sitting with me,1,are,"1,0,5,0,0","0, 472, 273, 1609, 392, 376, 2"
oh you found bunny,2,found,"0,0,2,0","0, 332, 273, 1255, 1185, 2"
that's David's Bunny Rabbit,1,s,"0,4,0,0,0,0","0, 363, 279, 2783, 279, 6447, 7774, 2"
yes I remember David,1,remember,"0,0,1,0","0, 506, 322, 773, 2783, 2"
do you remember David,1,remember,"1,0,3,0","0, 410, 273, 773, 2783, 2"
no not her shoe,0,None,"0,0,0,0","0, 286, 419, 470, 1499, 2"
write on the paper,1,write,"1,0,0,0","0, 4382, 307, 272, 1243, 2"
what,0,None,0,"0, 312, 2"
write on his shoe,1,write,"1,0,0,0","0, 4382, 307, 505, 1499, 2"
no you can't write on Mr Cromer's show,1,can't,"0,0,0,7,3,0,0,0,0,0","0, 286, 273, 377, 309, 1330, 307, 2695, 4552, 279, 873, 2"
no,0,None,0,"0, 286, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
whenever there's a hill to climb,1,s,"0,0,4,0,0,0,3","0, 7285, 386, 279, 265, 3431, 302, 1884, 2"
he sticks to me like,1,sticks,"0,1,0,0,0","0, 262, 3248, 302, 376, 349, 2"
and scares away,1,scares,"0,1,0","0, 347, 7605, 785, 2"
down the,0,None,"0,0","0, 2030, 272, 2"
with a shower,0,None,"0,0,0","0, 1286, 265, 3667, 2"
yes that does look like rain falling,1,does,"0,0,1,3,0,0,5","0, 506, 296, 462, 415, 349, 1608, 2950, 2"
now I'm a copy cat just like,1,m,"0,0,4,0,0,0,0,0","0, 330, 322, 488, 265, 6468, 859, 458, 349, 2"
just like you,0,None,"0,0,0","0, 799, 349, 273, 2"
yes,0,None,0,"0, 506, 2"
build a castle out of,1,build,"1,0,0,0,0","0, 4973, 265, 4261, 428, 340, 2"
with his,0,None,"0,0","0, 1286, 505, 2"
like bubble gum and cowboy,0,None,"0,0,0,0,0","0, 929, 4323, 3138, 329, 3640, 2"
rings,0,None,0,"0, 7647, 2"
like Adam's horsie,0,None,"0,0,0,0","0, 929, 1834, 279, 1995, 2"
yes there's a horse there,1,s,"0,0,4,0,0,0","0, 506, 386, 279, 265, 1344, 386, 2"
on his shirt yeah,0,None,"0,0,0,0","0, 275, 505, 1476, 642, 2"
if I bring out my,1,bring,"0,0,1,0,0","0, 426, 322, 1114, 428, 510, 2"
what's that,1,s,"0,4,0","0, 312, 279, 296, 2"
while I catch a,1,catch,"0,0,1,0","0, 3996, 322, 1514, 265, 2"
what happened,2,happened,"0,2","0, 312, 917, 2"
he can't copy me,1,can't,"0,7,0,3,0","0, 262, 377, 309, 6468, 376, 2"
to a sycamore,0,None,"0,0,0","0, 634, 265, 35314, 2"
and say,1,say,"0,1","0, 347, 460, 2"
I don't care,1,don't,"0,1,0,3","0, 45, 358, 309, 1083, 2"
oh you're going to give the kitty a ride in your wagon,3,re going to,"0,0,4,5,0,3,0,0,0,0,0,0,0","0, 332, 273, 375, 497, 302, 683, 272, 1015, 265, 1446, 318, 345, 3753, 2"
do you have a bite,1,do,"1,0,3,0,0","0, 410, 273, 381, 265, 1236, 2"
can you tell Mr Cromer about Humpty Dumpty,1,can,"7,0,3,0,0,0,0,0","0, 473, 273, 621, 2695, 4552, 482, 5805, 7429, 2"
oh he wants to shake hands,1,wants,"0,0,1,0,3,0","0, 332, 301, 1104, 302, 1602, 1128, 2"
kitty's fine,0,None,"0,0,0","0, 2438, 279, 1977, 2"
what's Daddy's name,1,s,"0,4,0,0,0","0, 312, 279, 825, 279, 766, 2"
is that a light,1,is,"1,0,0,0","0, 281, 296, 265, 1122, 2"
is that Adam's shoe,1,is,"1,0,0,0,0","0, 281, 296, 1834, 279, 1499, 2"
camper,0,None,0,"0, 33278, 2"
can you play it,1,can,"7,0,3,0","0, 473, 273, 465, 290, 2"
you like to walk,1,like,"0,1,0,3","0, 266, 349, 302, 958, 2"
Mommy can't march,1,can't,"0,7,0,3","0, 1087, 377, 309, 7371, 2"
no Mommy can't march,1,can't,"0,0,7,0,3","0, 286, 688, 377, 309, 7371, 2"
Catherine,0,None,0,"0, 4679, 2"
maybe Catherine can march,1,can,"0,0,7,3","0, 882, 2925, 377, 7371, 2"
no you march,1,march,"0,0,1","0, 286, 273, 7371, 2"
Catherine,0,None,0,"0, 4679, 2"
where is Catherine,1,is,"0,1,0","0, 442, 328, 2925, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
no you write on paper with pencil,1,write,"0,0,1,0,0,0,0","0, 286, 273, 1330, 307, 1243, 392, 2746, 2"
that's his name,1,s,"0,4,0,0","0, 363, 279, 505, 766, 2"
whose suitcase is that,1,is,"0,0,1,0","0, 2301, 4678, 328, 296, 2"
what does it say,1,does,"0,1,0,3","0, 312, 462, 290, 460, 2"
spaghetti,0,None,0,"0, 3559, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
put the ball where,1,put,"1,0,0,0","0, 676, 272, 690, 605, 2"
tape recorder,0,None,"0,0","0, 5535, 1851, 2"
no you can't put the ball on the tape recorder,1,can't,"0,0,7,0,3,0,0,0,0,0,0","0, 286, 273, 377, 309, 416, 272, 690, 307, 272, 1228, 1851, 2"
over there,0,None,"0,0","0, 2083, 386, 2"
what,0,None,0,"0, 312, 2"
what did the ball hit,2,did,"0,2,0,0,3","0, 312, 407, 272, 690, 1467, 2"
oh hit Mommy's rug,1,hit,"0,1,0,0,0","0, 332, 1467, 688, 279, 3125, 2"
where did it go,2,did,"0,2,0,3","0, 442, 407, 290, 316, 2"
in there,0,None,"0,0","0, 268, 386, 2"
is it under the chair,1,is,"1,0,0,0,0","0, 281, 290, 903, 272, 910, 2"
I'm afraid you might get stuck,1,m,"0,4,0,0,7,3,0","0, 45, 488, 2408, 273, 976, 394, 1856, 2"
see you later again,1,see,"1,0,0,0","0, 584, 273, 1457, 691, 2"
alright,0,None,0,"0, 671, 2"
Adam whose ball is that,1,is,"0,0,0,1,0","0, 2637, 4002, 690, 328, 296, 2"
no you can't sit on my book,1,can't,"0,0,7,0,3,0,0,0","0, 286, 273, 377, 309, 726, 307, 510, 523, 2"
what kind is that,1,is,"0,0,1,0","0, 312, 549, 328, 296, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
this is a diesel locomotive,1,is,"0,1,0,0,0","0, 562, 328, 265, 16312, 11733, 2"
can you say that,1,can't,"7,0,3,0","0, 473, 273, 460, 296, 2"
baggage car,0,None,"0,0,0","0, 10092, 14753, 572, 2"
streamlined coach,0,None,"0,0,0","0, 19995, 26608, 10601, 2"
sleeping car,0,None,"0,0","0, 9656, 572, 2"
dining car,0,None,"0,0","0, 28512, 572, 2"
modern steam locomotive,0,None,"0,0,0","0, 23239, 6580, 11733, 2"
electric locomotive,0,None,"0,0","0, 12600, 11733, 2"
switcher,0,None,"0,0","0, 2764, 3461, 2"
rotary snow plow,0,None,"0,0,0,0","0, 1278, 1359, 1825, 8392, 2"
flat car,0,None,"0,0","0, 20620, 572, 2"
mail car,0,None,"0,0","0, 9423, 572, 2"
tank car,0,None,"0,0","0, 19813, 572, 2"
box car,0,None,"0,0","0, 2876, 572, 2"
caboose,0,None,0,"0, 27162, 2"
do you know what kind this is,1,do,"1,0,3,0,0,0,1","0, 410, 273, 378, 339, 549, 346, 328, 2"
yes there's a man,1,s,"0,0,4,0,0","0, 506, 386, 279, 265, 686, 2"
that's a streamlined coach,1,s,"0,4,0,0,0,0","0, 363, 279, 265, 7849, 26608, 10601, 2"
what kind is that,1,is,"0,0,1,0","0, 312, 549, 328, 296, 2"
put the baby where,1,put,"1,0,0,0","0, 676, 272, 477, 605, 2"
where is the baby,1,is,"0,1,0,0","0, 442, 328, 272, 477, 2"
where is she,1,is,"0,1,0","0, 442, 328, 404, 2"
or is she outside,1,is,"0,1,0,0","0, 313, 328, 404, 1213, 2"
is she sitting up,1,is,"1,0,5,0","0, 281, 404, 1609, 403, 2"
or is she in the bed,1,is,"0,1,0,0,0,0","0, 313, 328, 404, 318, 272, 865, 2"
where is she,1,is,"0,1,0","0, 442, 328, 404, 2"
bed yes,0,None,"0,0","0, 3399, 860, 2"
this is the sleeping car,1,is,"0,1,0,0,0","0, 562, 328, 272, 2051, 572, 2"
this is the dining car,1,is,"0,1,0,0,0","0, 562, 328, 272, 6988, 572, 2"
where you sat,2,sat,"0,0,2","0, 442, 273, 2841, 2"
this is a box car,1,is,"0,1,0,0,0","0, 562, 328, 265, 901, 572, 2"
know,1,know,1,"0, 1356, 2"
what kind that is,1,is,"0,0,0,1","0, 312, 549, 296, 328, 2"
yes those are men,1,are,"0,0,1,0","0, 506, 594, 385, 2466, 2"
what are they doing,1,are,"0,1,0,5","0, 312, 385, 412, 593, 2"
do you know,1,do,"1,0,3","0, 410, 273, 378, 2"
men,0,None,0,"0, 3433, 2"
what that is,1,is,"0,0,1","0, 312, 296, 328, 2"
you don't know,1,don't,"0,1,0,3","0, 266, 358, 309, 378, 2"
that's the mail car,1,s,"0,4,0,0,0","0, 363, 279, 272, 2206, 572, 2"
stop car,0,None,"0,0","0, 1600, 572, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
there's a truck,1,s,"0,4,0,0","0, 461, 279, 265, 971, 2"
that looks like that,1,looks,"0,1,0,0","0, 363, 651, 349, 296, 2"
tank car,0,None,"0,0","0, 19813, 572, 2"
and the last car on a train is called the what,1,is,"0,0,0,0,0,0,0,1,8,0,0","0, 347, 272, 988, 572, 307, 265, 1506, 328, 849, 272, 339, 2"
it's called the caboose,1,s,"0,4,8,0,0","0, 274, 279, 849, 272, 8334, 2"
caboose,0,None,0,"0, 27162, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
it looks like a derrick,1,looks,"0,1,0,0,0","0, 274, 651, 349, 265, 15327, 2"
but it's a crane,1,s,"0,0,4,0,0","0, 545, 290, 279, 265, 7501, 2"
it's one of the tools,1,s,"0,4,0,0,0,0","0, 274, 279, 383, 340, 272, 3297, 2"
that they work with,1,work,"0,0,1,0","0, 363, 412, 855, 392, 2"
that's an old time train,1,s,"0,4,0,0,0,0","0, 363, 279, 413, 989, 627, 1506, 2"
yes that does look like a broom doesn't it,1,does,"0,0,1,3,0,0,0,1,0,0","0, 506, 296, 462, 415, 349, 265, 3367, 644, 309, 290, 2"
where are you going,1,are,"0,1,0,5","0, 442, 385, 273, 497, 2"
whose is this,1,is,"0,1,0","0, 2301, 328, 346, 2"
what are you doing,1,are,"0,1,0,5","0, 312, 385, 273, 593, 2"
fix bike,1,fix,"1,0","0, 4598, 2126, 2"
take what,1,take,"1,0","0, 1363, 339, 2"
do what,1,does,"1,0","0, 410, 339, 2"
paper,0,None,0,"0, 5327, 2"
isn't that pretty,1,isn't,"1,0,0,0","0, 1670, 309, 296, 748, 2"
d a m,0,None,"0,0,0","0, 72, 265, 287, 2"
he always leaves the a off,1,leaves,"0,0,1,0,0,0","0, 262, 1179, 2704, 272, 265, 581, 2"
when he's spelling,1,s,"0,0,4,5","0, 952, 301, 279, 5622, 2"
did you write it already,2,did,"2,0,3,0,0","0, 546, 273, 1330, 290, 1396, 2"
careful don't hit Ursula's feet with the tow truck,1,don't,"0,1,0,3,0,0,0,0,0,0,0","0, 2041, 358, 309, 1467, 4436, 279, 1035, 392, 272, 5604, 971, 2"
what happened,2,happened,"0,2","0, 312, 917, 2"
you hit your knee,2,hit,"0,2,0,0","0, 266, 1467, 345, 3659, 2"
the tow truck hit your knee,2,hit,"0,0,0,2,0,0","0, 321, 5604, 971, 1467, 345, 3659, 2"
locomotive,0,None,"0,0","0, 3295, 11506, 2"
that's a flat car,1,s,"0,4,0,0,0","0, 363, 279, 265, 3395, 572, 2"
yes that is Donald Duck,1,is,"0,0,1,0,0","0, 506, 296, 328, 3697, 5053, 2"
Pinnochio,0,None,0,"0, 19696, 2"
no,0,None,0,"0, 286, 2"
that's not Pinnochio,1,s,"0,4,0,0","0, 363, 279, 419, 25424, 2"
those are chipmunks and Mickey Mouse,1,are,"0,1,0,0,0,0","0, 1144, 385, 12236, 329, 2952, 4684, 2"
put your pajamas on,1,put,"1,0,0,0","0, 676, 345, 3105, 307, 2"
put pajamas on,1,put,"1,0,0","0, 676, 3105, 307, 2"
and we can ride the car,1,can,"0,0,7,3,0,0","0, 347, 331, 377, 1446, 272, 572, 2"
he had his bath before supper and he put his pajamas on and he this last night,2,had,"0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0","0, 262, 630, 505, 1150, 1000, 1920, 329, 301, 416, 505, 3105, 307, 329, 301, 346, 988, 905, 2"
and he put his pajamas on and he this last night,2,put,"0,0,2,0,0,0,0,0,0,0,0","0, 347, 301, 416, 505, 3105, 307, 329, 301, 346, 988, 905, 2"
Daddy's racket,0,None,"0,0,0","0, 1494, 279, 10740, 2"
you can't play with Daddy's,1,can't,"0,7,0,3,0,0,0","0, 266, 377, 309, 465, 392, 825, 279, 2"
yes this Daddy's,0,None,"0,0,0,0","0, 506, 346, 825, 279, 2"
where did your racket go,2,did,"0,2,0,0,3","0, 442, 407, 345, 10740, 316, 2"
yes Daddy's racket,0,None,"0,0,0,0","0, 506, 825, 279, 10740, 2"
whose brief case is this,1,is,"0,0,0,1,0","0, 2301, 7681, 3920, 328, 346, 2"
get off her briefcase honey,1,get,"1,0,0,0,0","0, 657, 581, 470, 9039, 925, 2"
yes u p up,0,None,"0,0,0,0","0, 506, 335, 288, 403, 2"
get up,1,get,"1,0","0, 657, 403, 2"
up,0,None,0,"0, 607, 2"
up,0,None,0,"0, 607, 2"
come on,1,come,"1,0","0, 528, 307, 2"
no you can't sit on his either,1,can't,"0,0,7,0,3,0,0,0","0, 286, 273, 377, 309, 726, 307, 505, 1539, 2"
you had it all squashed down,2,had,"0,2,0,0,8,0","0, 266, 630, 290, 432, 13338, 483, 2"
where's your foot,1,s,"0,4,0,0","0, 442, 279, 345, 986, 2"
where's the other one,1,s,"0,4,0,0,0","0, 442, 279, 272, 617, 383, 2"
oh did you find it,2,did,"0,2,0,3,0","0, 332, 407, 273, 804, 290, 2"
how many do you have now,1,do,"0,0,1,0,3,0","0, 467, 907, 299, 273, 381, 508, 2"
two feet,0,None,"0,0","0, 1201, 1035, 2"
how many does Mr Cromer have,1,does,"0,0,1,0,0,3","0, 467, 907, 462, 2695, 4552, 381, 2"
oh that's the knee,1,s,"0,0,4,0,0","0, 332, 296, 279, 272, 3659, 2"
do you have elbow,1,have,"1,0,3,0","0, 410, 273, 381, 5136, 2"
what's an elbow,1,s,"0,4,0,0","0, 312, 279, 413, 5136, 2"
oh it's right on your arm,1,s,"0,0,4,0,0,0,0","0, 332, 290, 279, 434, 307, 345, 1868, 2"
it's all squashed,1,s,"0,4,0,8","0, 274, 279, 432, 13338, 2"
all squashed,0,None,"0,0","0, 365, 13338, 2"
you're stepping on her feet,1,re,"0,4,5,0,0,0","0, 266, 375, 7802, 307, 470, 1035, 2"
where are you sitting,1,are,"0,1,0,5","0, 442, 385, 273, 1609, 2"
where,0,None,0,"0, 442, 2"
Joshua's chair or did you say Joshua's shirt,2,did,"0,0,0,0,2,0,3,0,0,0","0, 14070, 279, 910, 501, 407, 273, 460, 14656, 279, 1476, 2"
foot,0,None,0,"0, 4263, 2"
you're picking the dirt up with your bulldozer,1,re,"0,4,5,0,0,0,0,0,0","0, 266, 375, 3063, 272, 3200, 403, 392, 345, 6279, 2"
the big tow truck's picking Joshua's dirt up,1,s,"0,0,0,0,4,5,0,0,0,0","0, 321, 535, 5604, 971, 279, 3063, 14656, 279, 3200, 403, 2"
write that,0,None,"0,0","0, 4382, 296, 2"
the tractor can't write,1,can't,"0,0,7,0,3","0, 321, 2905, 377, 309, 1330, 2"
the racket can't write either,1,can't,"0,0,7,0,3,0","0, 321, 10740, 377, 309, 1330, 1539, 2"
Adam is sitting down,1,is,"0,1,5,0","0, 2637, 328, 1609, 483, 2"
pick the dirt up,1,pick,"1,0,0,0","0, 2251, 272, 3200, 403, 2"
pick the roadgrader up,1,pick,"1,0,0,0","0, 2251, 272, 20700, 403, 2"
no you don't have a nail in there,1,don't,"0,0,1,0,3,0,0,0,0","0, 286, 273, 358, 309, 381, 265, 4672, 318, 386, 2"
you just can't pick it up that way,1,can't,"0,0,7,0,3,0,0,0,0","0, 266, 458, 377, 309, 895, 290, 403, 296, 656, 2"
he's just sharp,1,s,"0,4,0,0","0, 262, 279, 458, 3194, 2"
Robie's nail,0,None,"0,0,0,0","0, 6377, 390, 279, 4672, 2"
pick the glove up,1,pick,"1,0,0,0","0, 2251, 272, 7293, 403, 2"
pick the paper up,1,pick,"1,0,0,0","0, 2251, 272, 1243, 403, 2"
rug,0,None,0,"0, 14775, 2"
oh you can see the rug now,1,can,"0,0,7,3,0,0,0","0, 332, 273, 377, 384, 272, 3125, 508, 2"
what color is the rug,1,is,"0,0,1,0,0","0, 312, 729, 328, 272, 3125, 2"
what,0,None,0,"0, 312, 2"
what color,0,None,"0,0","0, 312, 729, 2"
what color is in the rug,1,is,"0,0,1,0,0,0","0, 312, 729, 328, 318, 272, 3125, 2"
is it the same over there,1,is,"1,0,0,0,0,0","0, 281, 290, 272, 1206, 521, 386, 2"
green,0,None,0,"0, 2464, 2"
green,0,None,0,"0, 2464, 2"
is it the same color everywhere,1,is,"1,0,0,0,0,0","0, 281, 290, 272, 1206, 729, 3275, 2"
what other color is in it,1,is,"0,0,0,1,0,0","0, 312, 617, 729, 328, 318, 290, 2"
green and what,0,None,"0,0,0","0, 2464, 329, 339, 2"
well what did you hit,2,did,"0,0,2,0,3","0, 492, 339, 407, 273, 1467, 2"
you hit your shoulder,2,hit,"0,2,0,0","0, 266, 1467, 345, 5140, 2"
on the table,0,None,"0,0,0","0, 275, 272, 1018, 2"
mosquito,0,None,0,"0, 14762, 2"
you don't have a mosquito bite back there,1,don't,"0,1,0,3,0,0,0,0,0","0, 266, 358, 309, 381, 265, 7139, 1236, 511, 386, 2"
don't hit your head on the bicycle,1,don't,"1,0,3,0,0,0,0,0","0, 629, 309, 1467, 345, 870, 307, 272, 4020, 2"
yes that is a man,1,is,"0,0,1,0,0","0, 506, 296, 328, 265, 686, 2"
do you know the man's name,1,don't,"1,0,3,0,0,0,0","0, 410, 273, 378, 272, 686, 279, 766, 2"
yes what's the man's name driving the busy bulldozer,1,s,"0,0,4,0,0,0,0,5,0,0,0","0, 506, 339, 279, 272, 686, 279, 766, 2581, 272, 2555, 6279, 2"
yes he's pushing the dirt up,1,s,"0,0,4,5,0,0,0","0, 506, 301, 279, 3689, 272, 3200, 403, 2"
what's the man's name,1,s,"0,4,0,0,0,0","0, 312, 279, 272, 686, 279, 766, 2"
this is the man,1,is,"0,1,0,0","0, 562, 328, 272, 686, 2"
man who drives the busy bulldozer,1,drives,"0,0,1,0,0,0","0, 1135, 592, 4649, 272, 2555, 6279, 2"
what is his name,1,is,"0,1,0,0","0, 312, 328, 505, 766, 2"
what's his name,1,is,"0,4,0,0","0, 312, 279, 505, 766, 2"
where did what go,2,did,"0,2,0,3","0, 442, 407, 339, 316, 2"
you tell me,1,tell,"0,1,0","0, 266, 621, 376, 2"
what's happening,1,s,"0,4,5","0, 312, 279, 2856, 2"
until he met how many men,2,met,"0,0,2,0,0,0","0, 6509, 301, 2912, 561, 907, 2466, 2"
three men,0,None,"0,0","0, 1740, 2466, 2"
that's one of the men,1,s,"0,4,0,0,0,0","0, 363, 279, 383, 340, 272, 2466, 2"
come on pal,1,come,"1,0,0","0, 528, 307, 4807, 2"
let's go,1,let's,"1,0,0","0, 489, 279, 316, 2"
no don't push Mommy's book,1,don't,"0,1,0,3,0,0,0","0, 286, 358, 309, 1270, 688, 279, 523, 2"
no it isn't yours,1,isn't,"0,0,1,0,0","0, 286, 290, 918, 309, 1511, 2"
your books are over in your basket,1,are,"0,0,1,0,0,0,0","0, 1009, 1049, 385, 521, 318, 345, 1859, 2"
is that Doctor Dan,1,isn't,"1,0,0,0","0, 281, 296, 4160, 3525, 2"
is it,1,isn't,"1,0","0, 281, 290, 2"
I didn't think it was,2,didn't,"0,2,0,3,0,2","0, 45, 611, 309, 399, 290, 405, 2"
why do you call that spaghetti,1,do,"0,1,0,3,0,0","0, 601, 299, 273, 661, 296, 1611, 2"
or is that what,1,is,"0,1,0,0","0, 313, 328, 296, 339, 2"
you're saying,1,re,"0,4,5","0, 266, 375, 1498, 2"
Daddy,0,None,0,"0, 1494, 2"
what about Daddy,0,None,"0,0,0","0, 312, 482, 825, 2"
no that's Mr Cromer's suitcase,1,s,"0,0,4,0,0,0,0","0, 286, 296, 279, 2695, 4552, 279, 4678, 2"
whose suitcase is that,1,is,"0,0,1,0","0, 2301, 4678, 328, 296, 2"
no whose suitcase is that,1,is,"0,0,0,1,0","0, 286, 4002, 4678, 328, 296, 2"
whose is this,1,is,"0,1,0","0, 2301, 328, 346, 2"
to whom does that belong,1,does,"0,0,1,0,3","0, 634, 6777, 462, 296, 2542, 2"
no that's not Adam's,1,s,"0,0,4,0,0,0","0, 286, 296, 279, 419, 1834, 279, 2"
yes that's Daddy's suitcase,1,s,"0,0,4,0,0,0","0, 506, 296, 279, 825, 279, 4678, 2"
careful don't be so rough,1,don't,"0,1,0,3,0,0","0, 2041, 358, 309, 372, 437, 3432, 2"
