Sentence,Tense,Verb,NER Tag
it doesn't belong there,1,doesn't,"0,1,3,0"
okay Adam ride it,1,ride,"0,0,1,0"
Adam's doggie,0,None,
take his nose off,1,take,"1,0,0,0"
no you can't take his nose off,1,can't,"0,0,7,3,0,0,0"
how will he smell anything,3,will,"0,9,0,3,0"
no you can't take his nose off either,1,can't,"0,0,7,3,0,0,0,0,"
you can't take his nose off,1,can't,"0,7,3,0,0,0"
no I don't think those two men can,1,don't,"0,0,1,3,0,0,0,7"
no you can't take the lion's nose off,1,can't,"0,0,7,3,0,0,0,0"
doggie take nose off,1,take,"0,1,0,0"
nose off what,0,None,
no you can't take the nose off,1,can't,"0,0,7,3,0,0,0"
Adam who take nose off,1,take,"0,0,1,0,0"
take nose off Donald Duck,1,take,"1,0,0,0,0"
no,0,None,
take nose off what,1,take,"1,0,0,0"
fire,0,None,
bird,0,None,
no you can't take the nose off the bird either,1,can't,"0,0,7,3,0,0,0,0,0,0"
does the bird have a nose,1,does,"1,0,0,3,0,0"
that's a donkey,1,s,"4,0,0"
and a piggie,0,None,
monkey,0,None,
that's a man and that's a little boy,1,s,"4,0,0,0,4,0,0,0"
that is a man,1,is,"0,1,0,0"
that's a piggie,1,s,"4,0,0"
that's a little baby doggie,1,s,"4,0,0,0,0"
the baby doggie is a puppy,1,is,"0,0,0,1,0,0"
well he does look a little like Pepper,1,does,"0,0,1,3,0,0,0,0,0"
it's not the same dog as Pepper,1,s,"4,0,0,0,0,0,0"
what is it doing,1,is,"0,1,0,5"
record going to work,0,going,"0,5,0,3"
yes it is working ,1,is,"0,0,1,5"
but what is it going,1,is,"0,0,1,0,5"
oh no you can't take it off yet,1,can't,"0,0,0,7,3,0,0,0"
it hasn't finished,1,hasn't,"0,1,8"
Adam sit down,1,sit,"0,1,0"
where are you going to sit,3,are you going to,"0,1,0,5,0,3"
peekaboo,0,None,
it doesn't have nose,1,doesn't,"0,1,3,0"
where is the nose on the car,1,is,"0,1,0,0,0,0,0"
that's a train,1,s,"4,0,0"
the car is on the train,1,is,"0,0,1,0,0,0"
who dat that,0,None,
car train,0,None,
car train,0,None,
what is that,1,is,"0,1,0"
do you have anything in your pocket,1,do,"1,0,3,0,0,0,0"
do you have a penny,1,do,"1,0,3,0,0"
that's the rug,1,s,"4,0,0"
careful don't step on his foot,1,don't,"0,1,3,0,0,0"
what is that,1,is,"0,1,0"
that's part of the broom,1,s,"4,0,0,0,0"
what is that part of,1,is,"0,1,0,0,0"
excuse me Ursula part of the broom,1,excuse,"1,0,0,0,0,0,0"
why don't you put it in the trash,1,don't,"0,1,0,3,0,0,0,0"
yes right there,0,None,
yeah,0,None,
what did you find,2,did,"0,2,0,3"
what is that,1,is,"0,1,0"
what else is on there,1,is,"0,0,1,0,0"
beans and what,0,None,
those aren't beans,1,aren't,"0,1,0"
they're peas,1,re,"4,0"
what else,0,None,
no,0,None,
Humpty_Dumpty,0,None,
what did Humpty_Dumpty do,2,did,"0,2,0,0,1"
he sat on the wall,2,sat,"0,2,0,0,0"
all the king's horses and all the king's,0,None,
men,0,None,
could not put,1,could,"7,0,3"
Ricky will fix that,3,will,"0,9,3,0"
Lilly,0,None,
oh Lilly will fix it,3,will,"0,0,9,3,0"
oh Jesus loves me,1,loves,"0,0,1,0"
at church,0,None,
we passed two nuns in the grocery store and Adam told his daddy,2,passed,"0,2,0,0,0,0,0,0,0,0,2,0,0"
and Adam told his daddy,2,told,"0,0,2,0,0"
Jesus love me,1,love,"0,1,0"
coat,0,None,
you wanna go to church,1,wanna,"0,1,3,0,0"
you don't go to church today,1,don't,"0,1,3,0,0,0"
Adam's driving,1,s,"4,5"
Adam you don't ride your up there,1,don't,"0,0,1,3,0,0,0"
not up there either,0,None,
no,0,None,
no,0,None,
no,0,None,
where did Daddy go,2,did,"0,2,0,3"
careful Adam,0,None,
yes that is Daddy,1,is,"0,0,1,0"
no leave that back there,1,leave,"0,1,0,0,0"
that's Ursula's tape recorder,1,s,"4,0,0,0"
Mommy is Ursula's Daddy,1,is,"0,1,0,0"
oh,0,None,
you tell me,1,tell,"0,1,0"
where did Daddy go,2,did,"0,2,0,3"
what does Daddy do at school,1,does,"0,1,0,3,0,0"
is the busy bulldozer at school,1,is,"1,0,0,0,0,0"
he can't march,1,can't,"0,7,3"
no he can't march,1,can't,"0,0,7,3"
no,0,None,
Green_jeans,0,None,
yes Mr Green_jeans can march,1,can,"0,0,0,0,7,0"
Bambi can't march,1,can't,"0,7,3"
who,0,None,
oh yes the bear can march,1,can,"0,0,0,0,7,3"
yes,0,None,
where's your bumble bee,1,s,"4,0,0,0"
get the bumble bee alright,1,get,"1,0,0,0,0"
do you think ,1,do,"1,0,3"
he can drive with that there,1,can,"0,7,3,0,0,0"
what's her little boy's name,1,s,"4,0,0,0,0"
that's your name,1,s,"4,0,0"
what's her little boy's name,1,s,"4,0,0,0,0"
why don't you take Ursula's briefcase over to her,1,don't,"0,1,0,3,0,0,0,0,0"
you can take it off,1,can,"0,7,3,0,0"
I doubt it,1,doubt,"0,1,0"
oh is that the marching bear,1,is,"0,1,0,0,0,0"
put him to work,1,put,"1,0,0,3"
oh put him on the rug,1,put,"0,1,0,0,0,0"
oh no Mr Green_jeans is gone now,1,gone,"0,0,0,0,0,1,8,0"
who is that,1,is,"0,1,0"
that's Adam,1,s,"4,0"
do you see him,1,see,"1,0,3,0"
do you see Ursula too,1,see,"1,0,3,0,0"
who else do you see,1,do,"0,0,1,0,3"
do you see your truck too,1,do,"1,0,3,0,0,0"
you don't mean ball,1,don't,"0,1,3,0"
that's a bat,1,s,"4,0,0"
where's the ball,1,s,"4,0,0"
outside,0,None,
careful don't spill it,1,don't,"0,1,3,0"
don't spill the water on the rug,1,don't,"1,3,0,0,0,0,0"
what,0,None,
no,0,None,
he doesn't want any water,1,doesn't,"0,1,3,0,0"
I don't think,1,don't,"0,1,3"
ask her if she'd like some,1,ask,"1,0,0,4,3,0"
ask Mr Cromer if he'd like some water,1,ask,"1,0,0,0,4,3,0,0"
the suitcase wants water,1,wants,"0,0,1,0"
no,0,None,
that's not your tummy,1,s,"4,0,0,0"
how many tummies do you have,1,do,"0,0,0,1,0,3"
that's the man who wrote the book,2,wrote,"4,0,0,0,2,0,0"
you tell me,1,tell,"0,1,0"
what are you doing,1,are,"0,1,0,5"
oh you're wiping it off,1,re,"0,4,5,0,0"
Adam go to work,1,go,"0,1,0,3"
where does Adam work,1,does,"0,1,0,3"
Adam do you know ,1,do,"0,1,0,3"
where you live,1,live,"0,0,1"
this is Adam's house,1,s,"0,1,0,0"
but where is it,1,is,"0,0,1,0,"
oh Adam's driving,1,s,"0,4,5"
who is driving,1,is,"0,1,5"
Robbie's driving too,1,s,"4,5,0"
what are you doing,1,are,"0,1,0,5"
Hobo's truck,0,None,
did you find it,2,did,"2,0,3,0"
yes,0,None,
where is it,1,is,"0,1,0"
where's the other one,1,s,"4,0,0,0"
throw to Daddy,1,throw,"1,0,0"
Doctor Dan at the circus,0,None,
he has two boots on,1,has,"0,1,0,0,0"
that's a lion tamer,1,s,"4,0,0,0"
the lady of the elephant,0,None,
what is that,1,is,"0,1,0"
that's the doggie,1,s,"4,0,0"
who is that,1,is,"0,1,0"
yes tattooed man,0,None,
no he's not going to bite the doggie,3,s not going to ,"0,4,0,5,0,3,0,0"
and the doggie's not going to bite him,3,s not going to ,"0,0,4,0,5,0,3,0"
they're all falling down,1,re,"4,0,5,0"
see ,1,see,"1,"
the bird gets away,1,gets,"0,0,1,0"
first he does what,1,does,"0,0,1,0"
no the doggie didn't bite him,2,didn't,"0,0,0,2,3,0"
what's this,1,s,"4,0"
what is she putting the bandaid on,1,is,"0,1,0,5,0,0,0"
take boots on,1,take,"1,0,0"
Adam doesn't have cowboy boots like that,1,doesn't,"0,1,3,0,0,0,0"
do you recognize any of these pictures,1,do,"1,0,3,0,0,0,0"
yeah they all fall down,1,fall,"0,0,0,1,0"
how did he get tattooed,2,didn't,"0,2,0,1,0"
who fell down,2,fell,"0,2,0"
what happened to your head,2,happened,"0,2,0,0,0"
what fell down,2,fell,"0,2,0"
you beep beep Adam,1,beep,"0,1,1,0"
you move some of your toys,1,move,"0,1,0,0,0,0"
yes move your bike,1,move,"0,1,0,0"
where's your racket,1,s,"4,0,0"
you're welcome,1,re,"4,0"
that's for you,1,s,"4,0,0"
whose book is that,1,is,"0,0,1,0"
Bruno Walter,0,None,
Bruno Walter,0,None,
what does he look like,1,does,"0,1,0,3,0"
playing the piano,0,None,"5,0,0"
they do look like stars,1,do,"0,1,3,0,0"
what's he doing,1,s,"4,0,5"
what's his name,1,s,"4,0,0"
what is that,1,is,"0,1,0"
what is that,1,is,"0,1,0"
what is that,1,is,"0,1,0"
no that's no paper,1,s,"0,4,0,0"
what is he doing Adam,1,is,"0,1,0,5,0"
Adam didn't write that,2,didn't,"0,2,3,0"
Mr Walter did,2,did,"0,0,2"
which one is Mr Walter,1,is,"0,0,1,0,0"
girl,0,None,
when,0,None,
what is he doing,1,is,"0,1,0,5"
he's conducting,1,s,"4,5"
he's in there,1,s,"4,0,0"
you going to give back to Ursula now,0,None,"0,5,0,3,0,0,0,0"
you'll give it to whom,3,ll,"6,3,0,0,0"
what are you doing Adam,1,are,"0,1,0,5,0"
Adam's not funny,1,s,"4,0,0"
where did Daddy go,2,did,"0,2,0,3"
Daddy Cromer,0,None,
no that's not Cromer's Daddy,1,s,"0,4,0,0,0"
no Mommy's not Cromer's Mommy either,1,s,"0,4,0,0,0,0"
Adam Cromer,0,None,
whose coat is that,1,is,"0,0,1,0"
what are you going to do with the pencil,3,are you going to,"0,1,0,5,0,3,0,0,0"
how do you know tha your pencil,1,do,"0,1,0,3,0,0,0"
yes it's turned on,1,s,"0,4,8,0"
what are you talking about,1,are,"0,1,0,5,0"
what is that,1,is,"0,1,0"
you tell me,1,tell,"0,1,0"
what is that,1,is,"0,1,0"
Adam's pencil,0,None,
is that a pencil,1,is,"1,0,0,0"
you want some paper,1,want,"0,1,0,0"
what,0,None,
sure,0,None,
where did you get that,2,did,"0,2,0,3,0"
sure,0,None,
do you know,1,do,"1,0,3"
how old you are,1,are,"0,0,0,1"
two boy,0,None,
what,0,None,
see the racket,1,see,"1,0,0"
the racket isn't up there,1,isn't,"0,0,1,0,0"
oh you see that,1,see,"0,0,1,0"
where is it,1,isn't,"0,1,0"
Mommy's pillows,0,None,
well I don't want my pillows on the floor,1,don't,"0,0,1,3,0,0,0,0,0"
oh they're Adam's pillows,1,re,"0,4,0,0"
I don't think,1,don't,"0,1,3"
Daddy wants his pillows on the floor either,1,wants,"0,1,0,0,0,0,0,0"
put together again,1,put,"1,0,0"
with a needle and some thread maybe we can put it back together,1,can,"0,0,0,0,0,0,0,0,7,3,0,0,0"
thread,0,None,
did you ask him to move it,2,did,"2,0,3,0,0,3,0"
are you pulling your dog,1,are,"1,0,5,0,0"
is the doggie broken,1,is,"1,0,0,0"
that's no lion,1,s,"4,0,0"
well that's the right way,1,s,"0,4,0,0,0"
you can't do that honey,1,can't,"0,7,3,0,0"
what are you Adam,1,are,"0,1,0,0"
busy bulldozer,0,None,
Adam did you pick up the pillows,2,did,"0,2,0,3,0,0,0"
what's so funny,1,s,"4,0,0"
did you think that was funny,2,did,"2,0,3,0,2,0"
that was funny,2,was,"0,2,0"
don't ride the roadgrader up there,1,don't,"1,3,0,0,0,0"
that's right,1,s,"4,0"
it's not a big hill,1,s,"4,0,0,0,0"
where is your pencil,1,is,"0,1,0,0"
no this is mine,1,is,"0,0,1,0"
I have mine,1,have,"0,1,0"
no this Mommy's,0,None,
can you read,1,can,"7,0,3"
what's on there Adam,1,s,"4,0,0,0"
do you want a piece,1,do,"1,0,3,0,0"
doctor Dan,0,None,
who is that,1,is,"0,1,0"
who,0,None,
oh wash hands,1,wash,"0,1,0"
where,0,None,
what is that,1,is,"0,1,0"
what is that,1,is,"0,1,0"
what is that,1,is,"0,1,0"
this,0,None,
why don't you show it to Ursula,1,don't,"0,1,0,3,0,0,0"
yes Donald_Duck,0,None,
who is it,1,is,"0,1,0"
show it to Ursula,1,show,"1,0,0,0"
Bambi,0,None,
is that Bambi,1,is,"1,0,0"
what did you say then Adam,2,did,"0,2,0,3,0,0"
why is he like Perro,1,is,"0,1,0,0,0"
is there a bunny there,1,is,"1,0,0,0,0"
Adam what,0,None,
wet your pants,1,wet,"1,0,0"
can you say you're sorry,1,can,"7,0,3,4,0"
where's the kitchen,1,s,"4,0,0"
where's the kitchen,1,s,"4,0,0"
is that the kitchen,1,is,"1,0,0,0"
you go get it,1,go,"0,1,3,0"
Adam is that a ball,1,is,"0,1,0,0,0"
what kind of car broke,2,broke,"0,0,0,0,2"
oh take my hand out,1,take,"0,1,0,0,0"
are you as tall as Mommy,1,are,"1,0,0,0,0,0"
get the hand out,1,get,"1,0,0,0"
what's this,1,s,"4,0"
that's not Donald Duck,1,s,"4,0,0,0"
what is that,1,is,"0,1,0"
that's an egg,1,s,"4,0,0"
look at the chicken coming out,1,look,"1,0,0,0,5,0"
hello Chatter,0,None,
oh no you can't take that out_of his hand,1,can't,"0,0,0,7,3,0,0,0,0,0"
you're eating Chatter's what,1,re,"4,5,0,0"
what did you bite,2,did,"0,2,0,3"
wipe it off,1,wipe,"1,0,0"
was it good,2,was,"2,0,0"
it doesn't go in your mouth does it,1,doesn't,"0,1,3,0,0,0,1,0"
in whose mouth does it go,1,doesn't,"0,0,0,1,0,3"
no not Mommy's mouth,0,None,
not Adam's mouth,0,None,
bite whose mouth,1,bite,"1,0,0"
no,0,None,
no,0,None,
no,0,None,
does the tape recorder have a mouth,1,does,"1,0,0,0,3,0,0"
where is it,1,is,"0,1,0"
what's the matter,1,s,"4,0,0"
is that hot,1,is,"1,0,0"
who dat that,0,None,
where,0,None,
what,0,None,
ready,0,None,
ready for what,0,None,
careful the microphone,0,None,
Daddy's desk,0,None,
what hurts,1,hurts,"0,1"
whose tummy hurts,1,hurts,"0,0,1"
oh your tummy hurts,1,hurts,"0,0,0,1"
if you put the tractor on your book,1,put,"0,0,1,0,0,0,0,0"
won't you tear it up,3,won't,"9,0,3,0,0"
no you won't tear the book up,3,won't,"0,0,9,3,0,0,0"
mosquito,0,None,
that's not a choo_choo train,1,s,"4,0,0,0,0,0"
what is that,1,is,"0,1,0"
that's a block,1,s,"4,0,0"
what color is the block,1,is,"0,0,1,0,0"
purple red green,0,None,
what color is the hammer,1,is,"0,0,1,0,0"
Bambi's green,0,None,
what's Bambi doing,1,s,"4,0,5"
poor Bambi,0,None,
did you hurt your head ,2,did,"2,0,3,0,0"
when you feel,1,feel,"0,0,1"
did he hurt his head,2,did,"2,0,3,0,0"
up in the sky,0,None,
you go get it,1,go,"0,1,3,0"
you get it,1,get,"0,1,0"
where did what go,2,did,"0,2,0,3"
the light,0,None,
what,0,None,
where did the glove go,2,did,"0,2,0,0,3"
how can you use the glove and the racket at the same time,1,can,"0,7,0,3,0,0,0,0,0,0,0,0,0"
alright be careful,1,be,"0,3,0"
oh you lost your shoe,2,lost,"0,0,2,0,0"
what did you hit,2,did,"0,2,0,3"
you knocked Bambi off,2,knocked,"0,2,0,0"
Bambi,0,None,
call Daddy,1,call,"1,0"
Daddy,0,None,
Daddy's not home,1,s,"4,0,0"
Daddy's not home,1,s,"4,0,0"
home,0,None,
Daddy's not home,1,s,"4,0,0"
home,0,None,
Mommy's home,1,s,"4,0"
Adam is home,1,is,"0,1,0"
Bambi is home,1,is,"0,1,0"
Cromer's at your home,1,s,"4,0,0,0"
Joshua's at his home,1,s,"4,0,0,0"
Kenny's at his home,1,s,"4,0,0,0"
doggie's home,1,s,"4,0"
who,0,None,
ball is home,1,is,"0,1,0"
Perro is home,1,is,"0,1,0"
yes man driving tractor over there,0,None,"0,0,5,0,0,0"
yes he's home,1,s,"0,4,0"
home,0,None,
yes tractor is home,1,is,"0,0,1,0"
yes busy bulldozer is home,1,is,"0,0,0,1,0"
Adam is home,1,is,"0,1,0"
dirt is home,1,is,"0,1,0"
oh yes,0,None,
bike is home,1,is,"0,1,0"
yes,0,None,
Ricky's at his home,1,s,"4,0,0,0"
yes,0,None,
Susy is at her home,1,is,"0,1,0,0,0"
who,0,None,
where is your pencil,1,is,"0,1,0,0"
what is that,1,is,"0,1,0"
what's in his mouth,1,s,"4,0,0,0"
tongue,0,None,
yeah,0,None,
yes that's an eye,1,s,"0,4,0,0"
how many eyes,0,None,
two ears,0,None,
two eyes,0,None,
yes that is a bell,1,is,"0,0,1,0,0"
yes that bell is home,1,is,"0,0,0,1,0"
Ursula's at your home,1,s,"4,0,0,0"
tape recorder's at your home,1,s,"0,4,0,0,0"
who,0,None,
Adam or,0,None,
door,0,None,
Doctor Dan at the Circus,0,None,
don't you think,1,don't,"1,0,3"
you should pick it up,1,should,"0,7,4,0,"
and put it in the basket,1,put,"0,1,0,0,0,0"
make Cromer do it,1,make,"1,0,3,0"
you pick doc Dan up yourself,1,pick,"0,1,0,0,0,0"
why don't you show him the tattooed man,1,don't,"0,1,0,3,0,0,0,0"
what is that,1,is,"0,1,0"
part of an apple,0,None,
it does look like part of an apple but it's not,1,does,"0,1,3,0,0,0,0,0,0,4,0,"
but it's not,1,s,"0,4,0"
I think maybe it came from your basket,2,came,"0,1,0,0,2,0,0,0"
yes I think ,1,think,"0,0,1"
it's part of the basket,1,s,"4,0,0,0,0"
go where it belongs,1,go,"1,0,0,1"
where it belongs,1,belongs,"0,0,1"
I don't think,1,don't,"0,1,3"
you can put it back,1,can,"0,7,3,0,0"
no that's not part of an apple,1,s,"0,4,0,0,0,0,0"
no it looks like it,1,looks,"0,0,1,0,0"
but it's not part of it,1,s,"0,4,0,0,0,0"
it's not part of the apple,1,s,"4,0,0,0,0,0"
you didn't hafta make her move,2,didn't,"0,2,3,3,0,3"
careful Adam with that pencil,0,None,
what happened to Adam,2,happened,"0,2,0,0"
did somebody spank Adam,2,did,"2,0,3,0"
that's not your tummy back there,1,s,"4,0,0,0,0,0"
what is that back there,1,is,"0,1,0,0,0"
change your diaper,1,change,"1,0,0"
that's your back,1,s,"4,0,0"
you don't have two tummies,1,don't,"0,1,3,0,0"
your tummy's in front,1,s,"0,4,0,0"
two what,0,None,
whose shoes did you hit,2,did,"0,0,2,0,3"
Jack and Jill,0,None,
you wanna take it over to Ursula,1,wanna,"0,1,3,0,0,0,0"
don't Adam foot,1,don't,"1,0,0"
it sounded like,2,sounded,"0,2,0"
marching bear,0,None,
that's tape,1,s,"4,0"
no that's tape,1,s,"0,4,0"
that's a screw,1,s,"4,0,0"
Ursula's all set,1,s,"4,0,0"
no,0,None,
we leave this down here,1,leave,"0,1,0,0,0"
so it will be out_of the way,3,will,"0,0,9,3,0,0,0,0"
that's not a screw,1,s,"4,0,0,0"
that's just part of the machine,1,s,"4,0,0,0,0,0"
well that's a screw,1,s,"0,4,0,0"
get back,1,get,"1,0"
alright,0,None,
don't you touch then,1,don't,"1,0,3,0"
if it's hot ,1,s,"0,4,0"
won't it burn you,3,won't,"9,0,3,0"
find a penny,0,None,
where did you put it,2,did,"0,2,0,3,0"
put it in your pocket,1,put,"1,0,0,0,0"
don't touch,1,don't,"1,3"
four what,0,None,
pad,0,None,
do you want a pencil,1,do,"1,0,3,0,0"
what are you going to write,3,are you going to,"0,1,0,5,0,3"
you're going to write Cromer,3,re gonig to,"4,5,0,3,0"
you're using your right hand this morning,1,re,"4,5,0,0,0,0,0"
that's very pretty,1,s,"4,0,0"
you're going to write Cromer,1,re gonig to,"4,5,0,3,0"
don't knock it over,1,don't,"1,3,0,0"
good morning,0,None,
hurt knee,2,hurt,"1,0"
hurt knee,2,hurt,"1,0"
you didn't hurt yourself with the screwdriver,2,didn't,"0,2,3,0,0,0,0"
you can fix the screws in your firetruck,1,can,"0,7,3,0,0,0,0,0"
put this one here,1,put,"1,0,0,0"
did you tell Ursula what kind of train that is,2,didn't,"2,0,3,0,0,0,0,0,0,1"
what kind of train that is,1,is,"0,0,0,0,0,1"
did you tell her the color,2,didn't,"2,0,3,0,0,0"
what kind of truck is it,1,is,"0,0,0,0,1,0"
truck broken,0,None,
you put the truck where,1,put,"0,1,0,0,0"
you're a busy bulldozer,1,re,"4,0,0,0,0"
oh it's a truck,1,s,"0,4,0,0"
oh no it's a busy bulldozer,1,s,"0,0,4,0,0,0"
how many,0,None,
red and yellow,0,None,
which one is yellow,1,is,"0,0,1,0"
Ursula's right there,1,s,"4,0,0"
can you put it together again,1,can,"7,0,3,0,0,0"
you put it together,1,put,"0,1,0,0"
you turned it around properly,2,turned,"0,2,0,0,0"
and then you put them together,1,put,"0,0,0,1,0,0"
see the other one ,1,see,"1,0,0,0"
and put them together,1,put,"0,1,0,0"
is it like this one,1,is,"1,0,0,0,0"
which one looks like that one,1,looks,"0,0,1,0,0,0"
what kind of horn is that,1,is,"0,0,0,0,1,0"
what color is the paper,1,is,"0,0,1,0,0"
what's the matter with you,1,s,"4,0,0,0,0"
where did Adam go,2,did,"0,2,0,3"
what is that,1,is,"0,1,0"
oh you're a baby,1,re,"0,4,0,0"
well what is that,1,is,"0,0,1,0"
what does the baby have in his mouth,1,does,"0,1,0,0,3,0,0,0"
whistle baby,0,None,
what,0,None,
mouth oh,0,None,
whistle in the baby's mouth,0,None,
oh that would be an awfully smart baby,1,be,"0,0,7,3,0,0,0,0"
that's Adam's baby,1,s,"4,0,0"
when are you going to learn to put your shoe on yourself,1,are you going to ,"0,1,0,5,0,3,0,3,0,0,0,0"
yes that's water,1,s,"0,4,0"
those are rocks,1,are,"0,1,0"
there may be fish in the water,1,may,"0,0,3,0,0,0,0"
yes there may be some fish in the water,1,may,"0,0,0,3,0,0,0,0,0"
that's no tape recorder,1,s,"4,0,0,0"
those are records in a box,1,are,"0,1,0,0,0,0"
put it where it belongs,1,put,"1,0,0,0,1"
we'll take his coat and hang it up alright,3,ll,"6,3,0,0,0,3,0,0,0"
how do you spell your name Adam,1,do,"0,1,0,3,0,0,0"
why don't you sit beside Mr Cromer ,1,don't,"0,1,0,3,0,0,0"
and write what he writes,1,write,"0,1,0,0,1"
what he writes,1,writes,"0,0,1"
what does the label on Mr Cromer's suitcase say,1,does,"0,1,0,0,0,0,0,0,3"
that's no horse,1,s,"4,0,0"
what about Cromer's suitcase,0,None,
Adam break suitcase Cromer,1,break,"0,1,0,0"
no Adam shouldn't break Cromer's suitcase,1,shouldn't,"0,0,7,3,0,0"
he'd do without a suitcase,1,d,"4,3,0,0,0"
do with a suitcase,1,do,"1,0,0,0"
he'd hafta do without a suitcase,1,d,"4,3,3,0,0,0"
because he wouldn't have one,1,wouldn't,"0,0,7,3,0"
oh no he wouldn't have one,1,wouldn't,"0,0,0,7,3,0"
Catherine take the suitcase,1,take,"0,1,0,0"
no nobody will break the suitcase,3,will,"0,0,9,3,0,0"
raining outside,0,None,"5,0"
you go look out the window,1,go,"0,1,3,0,0,0"
tell me,1,tell,"1,0"
if it's raining,1,s,"0,4,5"
is it raining,1,is,"1,0,5"
oh no it's not raining,1,s,"0,0,4,0,5"
well is the sun shining,1,is,"0,1,0,0,5"
the sun's not shining,1,s,"0,4,0,5"
is it cloudy,1,is,"1,0,0"
what kind of day is it,1,is,"0,0,0,0,1,0"
sun a week,0,None,
Adam's pieces,0,None,
take a piece of candy,1,take,"1,0,0,0,0"
what kind of candy is that,1,is,"0,0,0,0,1,0"
write with pencil,1,write,"1,0,0"
put the radio in,1,put,"1,0,0,0"
