,Sentence,Tense,Verb,NER Tag
606,you're picking the dirt up with your bulldozer,1,re,"4,5,0,0,0,0,0,0"
607,the big tow truck's picking Joshua's dirt up,1,s,"0,0,0,4,5,0,0,0"
608,write that,0,None,"0,0"
609,the tractor can't write,1,can't,"0,0,7,3"
610,the racket can't write either,1,can't,"0,0,7,3,0"
611,Adam is sitting down,1,is,"0,1,5,0"
612,pick the dirt up,1,pick,"1,0,0,0"
613,pick the roadgrader up,1,pick,"1,0,0,0"
614,no you don't have a nail in there,1,don't,"0,0,1,3,0,0,0,0"
615,you just can't pick it up that way,1,can't,"0,0,7,3,0,0,0,0"
616,he's just sharp,1,s,"4,0,0"
617,Robie's nail,0,None,"0,0"
618,pick the glove up,1,pick,"1,0,0,0"
619,pick the paper up,1,pick,"1,0,0,0"
620,rug,0,None,0
621,oh you can see the rug now,1,can,"0,0,7,3,0,0,0"
622,what color is the rug,1,is,"0,0,1,0,0"
623,what,0,None,0
624,what color,0,None,"0,0"
625,what color is in the rug,1,is,"0,0,1,0,0,0"
626,is it the same over there,1,is,"1,0,0,0,0,0"
627,green,0,None,0
628,green,0,None,0
629,is it the same color everywhere,1,is,"1,0,0,0,0,0"
630,what other color is in it,1,is,"0,0,0,1,0,0"
631,green and what,0,None,"0,0,0"
632,well what did you hit,2,did,"0,0,2,0,3"
633,you hit your shoulder,2,hit,"0,2,0,0"
634,on the table,0,None,"0,0,0"
635,mosquito,0,None,0
636,you don't have a mosquito bite back there,1,don't,"0,1,3,0,0,0,0,0"
637,don't hit your head on the bicycle,1,don't,"1,3,0,0,0,0,0"
638,yes that is a man,1,is,"0,0,1,0,0"
639,do you know the man's name,1,don't,"1,0,3,0,0,0"
640,yes what's the man's name driving the busy bulldozer,1,s,"0,4,0,0,0,5,0,0,0"
641,yes he's pushing the dirt up,1,s,"0,4,5,0,0,0"
642,what's the man's name,1,s,"4,0,0,0"
643,this is the man,1,is,"0,1,0,0"
644,man who drives the busy bulldozer,1,drives,"0,0,1,0,0,0"
645,what is his name,1,is,"0,1,0,0"
646,what's his name,1,is,"4,0,0"
647,where did what go,2,did,"0,2,0,3"
648,you tell me,1,tell,"0,1,0"
649,what's happening,1,s,"4,5"
650,until he met how many men,2,met,"0,0,2,0,0,0"
651,three men,0,None,"0,0"
652,that's one of the men,1,s,"4,0,0,0,0"
653,come on pal,1,come,"1,0,0"
654,let's go,1,let's,"1,0"
655,no don't push Mommy's book,1,don't,"0,1,3,0,0"
656,no it isn't yours,1,isn't,"0,0,1,0"
657,your books are over in your basket,1,are,"0,0,1,0,0,0,0"
658,is that Doctor Dan,1,isn't,"1,0,0,0"
659,is it,1,isn't,"1,0"
660,I didn't think it was,2,didn't,"0,2,3,0,2"
661,why do you call that spaghetti,1,do,"0,1,0,3,0,0"
662,or is that what,1,is,"0,1,0,0"
663,you're saying,1,re,"4,5"
664,Daddy,0,None,0
665,what about Daddy,0,None,"0,0,0"
666,no that's Mr Cromer's suitcase,1,s,"0,4,0,0,0"
667,whose suitcase is that,1,is,"0,0,1,0"
668,no whose suitcase is that,1,is,"0,0,0,1,0"
669,whose is this,1,is,"0,1,0"
670,to whom does that belong,1,does,"0,0,1,0,3"
671,no that's not Adam's,1,s,"0,4,0,0"
672,yes that's Daddy's suitcase,1,s,"0,4,0,0"
673,careful don't be so rough,1,don't,"0,1,3,0,0"
674,it's not a pocketbook,1,s,"4,0,0,0"
675,no don't sit on that,1,don't,"0,1,3,0,0"
676,what kind of car do you have,1,do,"0,0,0,0,1,0,3"
677,put Miss Munroe's tow truck,1,put,"1,0,0,0,0"
678,is that your doggie,1,is,"1,0,0,0"
679,what's your doggie's name,1,s,"4,0,0,0"
680,Texaco star,0,None,"0,0"
681,that's not a star,1,s,"4,0,0,0"
682,what about Cliffy,0,None,"0,0,0"
683,bye lion,0,None,"0,0"
684,two boots,0,None,"0,0"
685,it doesn't belong there,1,doesn't,"0,1,3,0"
686,okay Adam ride it,1,ride,"0,0,1,0"
687,Adam's doggie,0,None,"0,0"
688,take his nose off,1,take,"1,0,0,0"
689,no you can't take his nose off,1,can't,"0,0,7,3,0,0,0"
690,how will he smell anything,3,will,"0,9,0,3,0"
691,no you can't take his nose off either,1,can't,"0,0,7,3,0,0,0,0"
692,you can't take his nose off,1,can't,"0,7,3,0,0,0"
693,no I don't think those two men can,1,don't,"0,0,1,3,0,0,0,7"
694,no you can't take the lion's nose off,1,can't,"0,0,7,3,0,0,0,0"
695,doggie take nose off,1,take,"0,1,0,0"
696,nose off what,0,None,"0,0,0"
697,no you can't take the nose off,1,can't,"0,0,7,3,0,0,0"
698,Adam who take nose off,1,take,"0,0,1,0,0"
699,take nose off Donald Duck,1,take,"1,0,0,0,0"
700,no,0,None,0
701,take nose off what,1,take,"1,0,0,0"
702,fire,0,None,0
703,bird,0,None,0
704,no you can't take the nose off the bird either,1,can't,"0,0,7,3,0,0,0,0,0,0"
705,does the bird have a nose,1,does,"1,0,0,3,0,0"
706,that's a donkey,1,s,"4,0,0"
707,and a piggie,0,None,"0,0,0"
708,monkey,0,None,0
709,that's a man and that's a little boy,1,s,"4,0,0,0,4,0,0,0"
710,that is a man,1,is,"0,1,0,0"
711,that's a piggie,1,s,"4,0,0"
712,that's a little baby doggie,1,s,"4,0,0,0,0"
713,the baby doggie is a puppy,1,is,"0,0,0,1,0,0"
714,well he does look a little like Pepper,1,does,"0,0,1,3,0,0,0,0"
715,it's not the same dog as Pepper,1,s,"4,0,0,0,0,0,0"
716,what is it doing,1,is,"0,1,0,5"
717,record going to work,0,going,"0,5,0,3"
718,yes it is working,1,is,"0,0,1,5"
719,but what is it going,1,is,"0,0,1,0,5"
720,oh no you can't take it off yet,1,can't,"0,0,0,7,3,0,0,0"
721,it hasn't finished,1,hasn't,"0,1,8"
722,Adam sit down,1,sit,"0,1,0"
723,where are you going to sit,3,are you going to,"0,1,0,5,0,3"
724,peekaboo,0,None,0
725,it doesn't have nose,1,doesn't,"0,1,3,0"
726,where is the nose on the car,1,is,"0,1,0,0,0,0,0"
727,that's a train,1,s,"4,0,0"
728,the car is on the train,1,is,"0,0,1,0,0,0"
729,who dat that,0,None,"0,0,0"
730,car train,0,None,"0,0"
731,car train,0,None,"0,0"
732,what is that,1,is,"0,1,0"
733,do you have anything in your pocket,1,do,"1,0,3,0,0,0,0"
734,do you have a penny,1,do,"1,0,3,0,0"
735,that's the rug,1,s,"4,0,0"
736,careful don't step on his foot,1,don't,"0,1,3,0,0,0"
737,what is that,1,is,"0,1,0"
738,that's part of the broom,1,s,"4,0,0,0,0"
739,what is that part of,1,is,"0,1,0,0,0"
740,excuse me Ursula part of the broom,1,excuse,"1,0,0,0,0,0,0"
741,why don't you put it in the trash,1,don't,"0,1,0,3,0,0,0,0"
742,yes right there,0,None,"0,0,0"
743,yeah,0,None,0
744,what did you find,2,did,"0,2,0,3"
745,what is that,1,is,"0,1,0"
746,what else is on there,1,is,"0,0,1,0,0"
747,beans and what,0,None,"0,0,0"
748,those aren't beans,1,aren't,"0,1,0"
749,they're peas,1,re,"4,0"
750,what else,0,None,"0,0"
751,no,0,None,0
752,Humpty Dumpty,0,None,0
753,what did Humpty Dumpty do,2,did,"0,2,0,0,1"
754,he sat on the wall,2,sat,"0,2,0,0,0"
755,all the king's horses and all the king's,0,None,"0,0,0,0,0,0,0,0"
756,men,0,None,0
757,could not put,1,could,"7,0,3"
758,Ricky will fix that,3,will,"0,9,3,0"
759,Lilly,0,None,0
760,oh Lilly will fix it,3,will,"0,0,9,3,0"
761,oh Jesus loves me,1,loves,"0,0,1,0"
762,at church,0,None,"0,0"
763,we passed two nuns in the grocery store and Adam told his daddy,2,passed,"0,2,0,0,0,0,0,0,0,0,2,0,0"
764,and Adam told his daddy,2,told,"0,0,2,0,0"
765,Jesus love me,1,love,"0,1,0"
766,coat,0,None,0
767,you wanna go to church,1,wanna,"0,1,3,0,0"
768,you don't go to church today,1,don't,"0,1,3,0,0,0"
769,Adam's driving,1,s,"4,5"
770,Adam you don't ride your up there,1,don't,"0,0,1,3,0,0,0"
771,not up there either,0,None,"0,0,0,0"
772,no,0,None,0
773,no,0,None,0
774,no,0,None,0
775,where did Daddy go,2,did,"0,2,0,3"
776,careful Adam,0,None,"0,0"
777,yes that is Daddy,1,is,"0,0,1,0"
778,no leave that back there,1,leave,"0,1,0,0,0"
779,that's Ursula's tape recorder,1,s,"4,0,0,0"
780,Mommy is Ursula's Daddy,1,is,"0,1,0,0"
781,oh,0,None,0
782,you tell me,1,tell,"0,1,0"
783,where did Daddy go,2,did,"0,2,0,3"
784,what does Daddy do at school,1,does,"0,1,0,3,0,0"
785,is the busy bulldozer at school,1,is,"1,0,0,0,0,0"
786,he can't march,1,can't,"0,7,3"
787,no he can't march,1,can't,"0,0,7,3"
788,no,0,None,0
789,Green jeans,0,None,0
790,yes Mr Green jeans can march,1,can,"0,0,0,0,7,0"
791,Bambi can't march,1,can't,"0,7,3"
792,who,0,None,0
793,oh yes the bear can march,1,can,"0,0,0,0,7,3"
794,yes,0,None,0
795,where's your bumble bee,1,s,"4,0,0,0"
796,get the bumble bee alright,1,get,"1,0,0,0,0"
797,do you think,1,do,"1,0,3"
798,he can drive with that there,1,can,"0,7,3,0,0,0"
799,what's her little boy's name,1,s,"4,0,0,0,0"
800,that's your name,1,s,"4,0,0"
801,what's her little boy's name,1,s,"4,0,0,0,0"
802,why don't you take Ursula's briefcase over to her,1,don't,"0,1,0,3,0,0,0,0,0"
803,you can take it off,1,can,"0,7,3,0,0"
804,I doubt it,1,doubt,"0,1,0"
805,oh is that the marching bear,1,is,"0,1,0,0,0,0"
806,put him to work,1,put,"1,0,0,3"
807,oh put him on the rug,1,put,"0,1,0,0,0,0"
808,oh no Mr Green jeans is gone now,1,gone,"0,0,0,0,0,1,8,0"
809,who is that,1,is,"0,1,0"
810,that's Adam,1,s,"4,0"
811,do you see him,1,see,"1,0,3,0"
812,do you see Ursula too,1,see,"1,0,3,0,0"
813,who else do you see,1,do,"0,0,1,0,3"
814,do you see your truck too,1,do,"1,0,3,0,0,0"
815,you don't mean ball,1,don't,"0,1,3,0"
816,that's a bat,1,s,"4,0,0"
817,where's the ball,1,s,"4,0,0"
818,outside,0,None,0
819,careful don't spill it,1,don't,"0,1,3,0"
820,don't spill the water on the rug,1,don't,"1,3,0,0,0,0,0"
821,what,0,None,0
822,no,0,None,0
823,he doesn't want any water,1,doesn't,"0,1,3,0,0"
824,I don't think,1,don't,"0,1,3"
825,ask her if she'd like some,1,ask,"1,0,0,4,3,0"
826,ask Mr Cromer if he'd like some water,1,ask,"1,0,0,0,4,3,0,0"
827,the suitcase wants water,1,wants,"0,0,1,0"
828,no,0,None,0
829,that's not your tummy,1,s,"4,0,0,0"
830,how many tummies do you have,1,do,"0,0,0,1,0,3"
831,that's the man who wrote the book,2,wrote,"4,0,0,0,2,0,0"
832,you tell me,1,tell,"0,1,0"
833,what are you doing,1,are,"0,1,0,5"
834,oh you're wiping it off,1,re,"0,4,5,0,0"
835,Adam go to work,1,go,"0,1,0,3"
836,where does Adam work,1,does,"0,1,0,3"
837,Adam do you know,1,do,"0,1,0,3"
838,where you live,1,live,"0,0,1"
839,this is Adam's house,1,s,"0,1,0,0"
840,but where is it,1,is,"0,0,1,0"
841,oh Adam's driving,1,s,"0,4,5"
842,who is driving,1,is,"0,1,5"
843,Robbie's driving too,1,s,"4,5,0"
844,what are you doing,1,are,"0,1,0,5"
845,Hobo's truck,0,None,"0,0"
846,did you find it,2,did,"2,0,3,0"
847,yes,0,None,0
848,where is it,1,is,"0,1,0"
849,where's the other one,1,s,"4,0,0,0"
850,throw to Daddy,1,throw,"1,0,0"
851,Doctor Dan at the circus,0,None,"0,0,0,0,0"
852,he has two boots on,1,has,"0,1,0,0,0"
853,that's a lion tamer,1,s,"4,0,0,0"
854,the lady of the elephant,0,None,"0,0,0,0,0"
855,what is that,1,is,"0,1,0"
856,that's the doggie,1,s,"4,0,0"
857,who is that,1,is,"0,1,0"
858,yes tattooed man,0,None,"0,0,0"
859,no he's not going to bite the doggie,3,s not going to,"0,4,0,5,0,3,0,0"
860,and the doggie's not going to bite him,3,s not going to,"0,0,4,0,5,0,3,0"
861,they're all falling down,1,re,"4,0,5,0"
862,see,1,see,"1,"
863,the bird gets away,1,gets,"0,0,1,0"
864,first he does what,1,does,"0,0,1,0"
865,no the doggie didn't bite him,2,didn't,"0,0,0,2,3,0"
866,what's this,1,s,"4,0"
867,what is she putting the bandaid on,1,is,"0,1,0,5,0,0,0"
868,take boots on,1,take,"1,0,0"
869,Adam doesn't have cowboy boots like that,1,doesn't,"0,1,3,0,0,0,0"
870,do you recognize any of these pictures,1,do,"1,0,3,0,0,0,0"
871,yeah they all fall down,1,fall,"0,0,0,1,0"
872,how did he get tattooed,2,didn't,"0,2,0,1,0"
873,who fell down,2,fell,"0,2,0"
874,what happened to your head,2,happened,"0,2,0,0,0"
875,what fell down,2,fell,"0,2,0"
876,you beep beep Adam,1,beep,"0,1,1,0"
877,you move some of your toys,1,move,"0,1,0,0,0,0"
878,yes move your bike,1,move,"0,1,0,0"
879,where's your racket,1,s,"4,0,0"
880,you're welcome,1,re,"4,0"
881,that's for you,1,s,"4,0,0"
882,whose book is that,1,is,"0,0,1,0"
883,Bruno Walter,0,None,"0,0"
884,Bruno Walter,0,None,"0,0"
885,what does he look like,1,does,"0,1,0,3,0"
886,playing the piano,0,None,"5,0,0"
887,they do look like stars,1,do,"0,1,3,0,0"
888,what's he doing,1,s,"4,0,5"
889,what's his name,1,s,"4,0,0"
890,what is that,1,is,"0,1,0"
891,what is that,1,is,"0,1,0"
892,what is that,1,is,"0,1,0"
893,no that's no paper,1,s,"0,4,0,0"
894,what is he doing Adam,1,is,"0,1,0,5,0"
895,Adam didn't write that,2,didn't,"0,2,3,0"
896,Mr Walter did,2,did,"0,0,2"
897,which one is Mr Walter,1,is,"0,0,1,0,0"
898,girl,0,None,0
899,when,0,None,0
900,what is he doing,1,is,"0,1,0,5"
901,he's conducting,1,s,"4,5"
902,he's in there,1,s,"4,0,0"
903,you going to give back to Ursula now,0,None,"0,5,0,3,0,0,0,0"
904,you'll give it to whom,3,ll,"6,3,0,0,0"
905,what are you doing Adam,1,are,"0,1,0,5,0"
906,Adam's not funny,1,s,"4,0,0"
907,where did Daddy go,2,did,"0,2,0,3"
908,Daddy Cromer,0,None,"0,0"
909,no that's not Cromer's Daddy,1,s,"0,4,0,0,0"
910,no Mommy's not Cromer's Mommy either,1,s,"0,4,0,0,0,0"
911,Adam Cromer,0,None,"0,0"
912,whose coat is that,1,is,"0,0,1,0"
913,what are you going to do with the pencil,3,are you going to,"0,1,0,5,0,3,0,0,0"
914,how do you know tha your pencil,1,do,"0,1,0,3,0,0,0"
915,yes it's turned on,1,s,"0,4,8,0"
916,what are you talking about,1,are,"0,1,0,5,0"
917,what is that,1,is,"0,1,0"
918,you tell me,1,tell,"0,1,0"
919,what is that,1,is,"0,1,0"
920,Adam's pencil,0,None,"0,0"
921,is that a pencil,1,is,"1,0,0,0"
922,you want some paper,1,want,"0,1,0,0"
923,what,0,None,0
924,sure,0,None,0
925,where did you get that,2,did,"0,2,0,3,0"
926,sure,0,None,0
927,do you know,1,do,"1,0,3"
928,how old you are,1,are,"0,0,0,1"
929,two boy,0,None,"0,0"
930,what,0,None,0
931,see the racket,1,see,"1,0,0"
932,the racket isn't up there,1,isn't,"0,0,1,0,0"
933,oh you see that,1,see,"0,0,1,0"
934,where is it,1,isn't,"0,1,0"
935,Mommy's pillows,0,None,"0,0"
936,well I don't want my pillows on the floor,1,don't,"0,0,1,3,0,0,0,0,0"
937,oh they're Adam's pillows,1,re,"0,4,0,0"
938,I don't think,1,don't,"0,1,3"
939,Daddy wants his pillows on the floor either,1,wants,"0,1,0,0,0,0,0,0"
940,put together again,1,put,"1,0,0"
941,with a needle and some thread maybe we can put it back together,1,can,"0,0,0,0,0,0,0,0,7,3,0,0,0"
942,thread,0,None,0
943,did you ask him to move it,2,did,"2,0,3,0,0,3,0"
944,are you pulling your dog,1,are,"1,0,5,0,0"
945,is the doggie broken,1,is,"1,0,0,0"
946,that's no lion,1,s,"4,0,0"
947,well that's the right way,1,s,"0,4,0,0,0"
948,you can't do that honey,1,can't,"0,7,3,0,0"
949,what are you Adam,1,are,"0,1,0,0"
950,busy bulldozer,0,None,"0,0"
951,Adam did you pick up the pillows,2,did,"0,2,0,3,0,0,0"
952,what's so funny,1,s,"4,0,0"
953,did you think that was funny,2,did,"2,0,3,0,2,0"
954,that was funny,2,was,"0,2,0"
955,don't ride the roadgrader up there,1,don't,"1,3,0,0,0,0"
956,that's right,1,s,"4,0"
957,it's not a big hill,1,s,"4,0,0,0,0"
958,where is your pencil,1,is,"0,1,0,0"
959,no this is mine,1,is,"0,0,1,0"
960,I have mine,1,have,"0,1,0"
961,no this Mommy's,0,None,"0,0,0"
962,can you read,1,can,"7,0,3"
963,what's on there Adam,1,s,"4,0,0,0"
964,do you want a piece,1,do,"1,0,3,0,0"
965,doctor Dan,0,None,"0,0"
966,who is that,1,is,"0,1,0"
967,who,0,None,0
968,oh wash hands,1,wash,"0,1,0"
969,where,0,None,0
970,what is that,1,is,"0,1,0"
971,what is that,1,is,"0,1,0"
972,what is that,1,is,"0,1,0"
973,this,0,None,0
974,why don't you show it to Ursula,1,don't,"0,1,0,3,0,0,0"
975,yes Donald Duck,0,None,"0,0"
976,who is it,1,is,"0,1,0"
977,show it to Ursula,1,show,"1,0,0,0"
978,Bambi,0,None,0
979,is that Bambi,1,is,"1,0,0"
980,what did you say then Adam,2,did,"0,2,0,3,0,0"
981,why is he like Perro,1,is,"0,1,0,0,0"
982,is there a bunny there,1,is,"1,0,0,0,0"
983,Adam what,0,None,"0,0"
984,wet your pants,1,wet,"1,0,0"
985,can you say you're sorry,1,can,"7,0,3,4,0"
986,where's the kitchen,1,s,"4,0,0"
987,where's the kitchen,1,s,"4,0,0"
988,is that the kitchen,1,is,"1,0,0,0"
989,you go get it,1,go,"0,1,3,0"
990,Adam is that a ball,1,is,"0,1,0,0,0"
991,what kind of car broke,2,broke,"0,0,0,0,2"
992,oh take my hand out,1,take,"0,1,0,0,0"
993,are you as tall as Mommy,1,are,"1,0,0,0,0,0"
994,get the hand out,1,get,"1,0,0,0"
995,what's this,1,s,"4,0"
996,that's not Donald Duck,1,s,"4,0,0,0"
997,what is that,1,is,"0,1,0"
998,that's an egg,1,s,"4,0,0"
999,look at the chicken coming out,1,look,"1,0,0,0,5,0"
1000,hello Chatter,0,None,"0,0"
1001,oh no you can't take that out of his hand,1,can't,"0,0,0,7,3,0,0,0,0,0"
1002,you're eating Chatter's what,1,re,"4,5,0,0"
1003,what did you bite,2,did,"0,2,0,3"
1004,wipe it off,1,wipe,"1,0,0"
1005,was it good,2,was,"2,0,0"
1006,it doesn't go in your mouth does it,1,doesn't,"0,1,3,0,0,0,1,0"
1007,in whose mouth does it go,1,doesn't,"0,0,0,1,0,3"
1008,no not Mommy's mouth,0,None,"0,0,0,0"
1009,not Adam's mouth,0,None,"0,0,0"
1010,bite whose mouth,1,bite,"1,0,0"
1011,no,0,None,0
1012,no,0,None,0
1013,no,0,None,0
1014,does the tape recorder have a mouth,1,does,"1,0,0,0,3,0,0"
1015,where is it,1,is,"0,1,0"
1016,what's the matter,1,s,"4,0,0"
1017,is that hot,1,is,"1,0,0"
1018,who dat that,0,None,"0,0,0"
1019,where,0,None,0
1020,what,0,None,0
1021,ready,0,None,0
1022,ready for what,0,None,"0,0,0"
1023,careful the microphone,0,None,"0,0,0"
1024,Daddy's desk,0,None,"0,0"
1025,what hurts,1,hurts,"0,1"
1026,whose tummy hurts,1,hurts,"0,0,1"
1027,oh your tummy hurts,1,hurts,"0,0,0,1"
1028,if you put the tractor on your book,1,put,"0,0,1,0,0,0,0,0"
1029,won't you tear it up,3,won't,"9,0,3,0,0"
1030,no you won't tear the book up,3,won't,"0,0,9,3,0,0,0"
1031,mosquito,0,None,0
1032,that's not a choo choo train,1,s,"4,0,0,0,0,0"
1033,what is that,1,is,"0,1,0"
1034,that's a block,1,s,"4,0,0"
1035,what color is the block,1,is,"0,0,1,0,0"
1036,purple red green,0,None,"0,0,0"
1037,what color is the hammer,1,is,"0,0,1,0,0"
1038,Bambi's green,0,None,"0,0"
1039,what's Bambi doing,1,s,"4,0,5"
1040,poor Bambi,0,None,"0,0"
1041,did you hurt your head,2,did,"2,0,3,0,0"
1042,when you feel,1,feel,"0,0,1"
1043,did he hurt his head,2,did,"2,0,3,0,0"
1044,up in the sky,0,None,"0,0,0,0"
1045,you go get it,1,go,"0,1,3,0"
1046,you get it,1,get,"0,1,0"
1047,where did what go,2,did,"0,2,0,3"
1048,the light,0,None,"0,0"
1049,what,0,None,0
1050,where did the glove go,2,did,"0,2,0,0,3"
1051,how can you use the glove and the racket at the same time,1,can,"0,7,0,3,0,0,0,0,0,0,0,0,0"
1052,alright be careful,1,be,"0,3,0"
1053,oh you lost your shoe,2,lost,"0,0,2,0,0"
1054,what did you hit,2,did,"0,2,0,3"
1055,you knocked Bambi off,2,knocked,"0,2,0,0"
1056,Bambi,0,None,0
1057,call Daddy,1,call,"1,0"
1058,Daddy,0,None,0
1059,Daddy's not home,1,s,"4,0,0"
1060,Daddy's not home,1,s,"4,0,0"
1061,home,0,None,0
1062,Daddy's not home,1,s,"4,0,0"
1063,home,0,None,0
1064,Mommy's home,1,s,"4,0"
1065,Adam is home,1,is,"0,1,0"
1066,Bambi is home,1,is,"0,1,0"
1067,Cromer's at your home,1,s,"4,0,0,0"
1068,Joshua's at his home,1,s,"4,0,0,0"
1069,Kenny's at his home,1,s,"4,0,0,0"
1070,doggie's home,1,s,"4,0"
1071,who,0,None,0
1072,ball is home,1,is,"0,1,0"
1073,Perro is home,1,is,"0,1,0"
1074,yes man driving tractor over there,0,None,"0,0,5,0,0,0"
1075,yes he's home,1,s,"0,4,0"
1076,home,0,None,0
1077,yes tractor is home,1,is,"0,0,1,0"
1078,yes busy bulldozer is home,1,is,"0,0,0,1,0"
1079,Adam is home,1,is,"0,1,0"
1080,dirt is home,1,is,"0,1,0"
1081,oh yes,0,None,"0,0"
1082,bike is home,1,is,"0,1,0"
1083,yes,0,None,0
1084,Ricky's at his home,1,s,"4,0,0,0"
1085,yes,0,None,0
1086,Susy is at her home,1,is,"0,1,0,0,0"
1087,who,0,None,0
1088,where is your pencil,1,is,"0,1,0,0"
1089,what is that,1,is,"0,1,0"
1090,what's in his mouth,1,s,"4,0,0,0"
1091,tongue,0,None,0
1092,yeah,0,None,0
1093,yes that's an eye,1,s,"0,4,0,0"
1094,how many eyes,0,None,"0,0,0"
1095,two ears,0,None,"0,0"
1096,two eyes,0,None,"0,0"
1097,yes that is a bell,1,is,"0,0,1,0,0"
1098,yes that bell is home,1,is,"0,0,0,1,0"
1099,Ursula's at your home,1,s,"4,0,0,0"
1100,tape recorder's at your home,1,s,"0,4,0,0,0"
1101,who,0,None,0
1102,Adam or,0,None,"0,0"
1103,door,0,None,0
1104,Doctor Dan at the Circus,0,None,"0,0,0,0,0"
1105,don't you think,1,don't,"1,0,3"
1106,you should pick it up,1,should,"0,7,4,0,"
1107,and put it in the basket,1,put,"0,1,0,0,0,0"
1108,make Cromer do it,1,make,"1,0,3,0"
1109,you pick doc Dan up yourself,1,pick,"0,1,0,0,0,0"
1110,why don't you show him the tattooed man,1,don't,"0,1,0,3,0,0,0,0"
1111,what is that,1,is,"0,1,0"
1112,part of an apple,0,None,"0,0,0,0"
1113,it does look like part of an apple but it's not,1,does,"0,1,3,0,0,0,0,0,0,4,0"
1114,but it's not,1,s,"0,4,0"
1115,I think maybe it came from your basket,2,came,"0,1,0,0,2,0,0,0"
1116,yes I think,1,think,"0,0,1"
1117,it's part of the basket,1,s,"4,0,0,0,0"
1118,go where it belongs,1,go,"1,0,0,1"
1119,where it belongs,1,belongs,"0,0,1"
